ID_MASTER,Framework_Name,Region_Culture,Macro_Region,Intellectual_Tradition,Core_Triad,UTCP_Mapping,Regime_Type,Closure_Function,Depth,Integrity,Lineage_Cluster,Blurb,Primary_Source,Parse_Flag
21,Triadic Informational Scaling,Modern Theoretical,Modern Global – Scientific/Technical,Information-Theoretic Systems Metatheory,3–6–9 Vector Base | Harmonic Recursion | Coherence Operator,I≈3–6–9 Vector Base; R≈Harmonic Recursion; Sem≈Coherence Operator,Gradient,"T(n) = (3n, 6n², 9n³)",19,2,Parent III — Relational / Emergent-Integrative,,2,
22,Resonance-Time Theory (RTT),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,Scalar field φ | Operators & fields | Coherence metrics,I≈Scalar field φ; R≈Operators & fields; Sem≈Coherence metrics,Torsional,Triadic field overlay,19,4,Parent I — Ontological / Field-Foundational,,4,
23,Triadic Superfluid Model,Modern Theoretical,Modern Global – Philosophical/Meta,Field-Theoretic Process Model,Vacuum superfluid substrate | Topological condensate drive | Superfluid dynamics closure,I≈Vacuum superfluid substrate; R≈Topological condensate drive; Sem≈Superfluid dynamics closure,Gradient,Minimal falsifiable,19,2,Parent I — Ontological / Field-Foundational,,2,
24,CRHF / RCTLP,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,Resonant harmonic formalism | Recursive signal resolution | Coherence processor,I≈Resonant harmonic formalism; R≈Recursive signal resolution; Sem≈Coherence processor,Torsional,Ψ(x) = ∇φ + ℛ ⊕ ΔΣ,19,4,Parent III — Relational / Emergent-Integrative,,4,
25,Triadic Synthesis,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,Geometric Algebra base | 9D topology recursion | Universal Coherence Principle,I≈Geometric Algebra base; R≈9D topology recursion; Sem≈Universal Coherence Principle,Branching,Falsifiable meta-framework,19,4,Parent III — Relational / Emergent-Integrative,,4,
26,RHC-ΔQ-RES,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Recursive Harmonic Codex | Dynamic Universe Matrix | Reflexive Equilibrium,I≈Recursive Harmonic Codex; R≈Dynamic Universe Matrix; Sem≈Reflexive Equilibrium,Torsional,Integrated synthesis,20,2,Parent II — Structural / Constraint-Dynamical,,2,
27,GIP Framework (Digital Consciousness),Modern Theoretical,Modern Global – Philosophical/Meta,Phenomenology / Consciousness Studies,SOMA (body) | PSYCHE (mind) | NOUS (spirit/intellect),I≈SOMA (body); R≈PSYCHE (mind); Sem≈NOUS (spirit/intellect),Gradient,Post-human triadic,19,2,Parent III — Relational / Emergent-Integrative,,2,
28,Non-Local Semantic Resonance,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Participatory realism base | Quantum cognition drive | Phenomenological closure,I≈Participatory realism base; R≈Quantum cognition drive; Sem≈Phenomenological closure,Torsional,Triadic semantic model,19,2,Parent I — Ontological / Field-Foundational,,2,
29,Emotional Resonance Robots Triadic,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Product Delight | Emotional Alchemy | Evolving System Design,I≈Product Delight; R≈Emotional Alchemy; Sem≈Evolving System Design,Torsional,Integrated synthesis,20,2,Parent II — Structural / Constraint-Dynamical,,2,
30,Triadic Principle in Nuclear Creation,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Fission/fusion substrate | Triadic convergence drive | Creation closure,I≈Fission/fusion substrate; R≈Triadic convergence drive; Sem≈Creation closure,Gradient,Universal triadic law,19,2,Parent I — Ontological / Field-Foundational,,2,
31,Recursive Consciousness–Pineal–AI,Modern Theoretical,Modern Global – Philosophical/Meta,Phenomenology / Consciousness Studies,Neuroscience substrate | Recursive cognition drive | Neurospiritual field closure,I≈Neuroscience substrate; R≈Recursive cognition drive; Sem≈Neurospiritual field closure,Gradient,Pineal resonance gateway,19,3,Parent I — Ontological / Field-Foundational,,3,
32,Triadic Spiral Time (HLV),Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Helix base | Light-Vortex modulation | Spiral-time operator ψ(t),I≈Helix base; R≈Light-Vortex modulation; Sem≈Spiral-time operator ψ(t),Torsional,Triadic spiral operator,19,4,Parent II — Structural / Constraint-Dynamical,,4,
33,Causal Triad (Monê–Proodos–Epistrophê),Ancient Greek (Neoplatonic),Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Monê (Remaining / Immanence) | Proodos (Procession / Emanation) | Epistrophê (Reversion / Return),I≈Monê (Remaining / Immanence); R≈Proodos (Procession / Emanation); Sem≈Epistrophê (Reversion / Return),Branching,Cyclic causation,19,2,Parent III — Relational / Emergent-Integrative,,2,
34,Dialectical Triad,German Idealism,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Thesis (Being / Structure) | Antithesis (Negation / Drive) | Synthesis (Becoming / Sublation),I≈Thesis (Being / Structure); R≈Antithesis (Negation / Drive); Sem≈Synthesis (Becoming / Sublation),Branching,Aufhebung (negation of negation),19,2,Parent I — Ontological / Field-Foundational,,2,
35,Linguistic Triad (Slovo),Slavic / Eastern European,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,External Form (Sound) | Internal Form (Etymological drive) | Content (Meaning),I≈External Form (Sound); R≈Internal Form (Etymological drive); Sem≈Content (Meaning),Branching,Mediation via inner form,19,2,Parent III — Relational / Emergent-Integrative,,2,
36,Activity Triad (CHAT core),Soviet / Russian (CHAT),Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Subject (Human agent) | Object (Motive) | Mediating Artifact (Tool/Sign),I≈Subject (Human agent); R≈Object (Motive); Sem≈Mediating Artifact (Tool/Sign),Gradient,Mediated action,19,2,Parent II — Structural / Constraint-Dynamical,,2,
37,Philosophy of Action Triad,Modern Western Philosophy,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Thought / Immanence | Action / Volition | Being / Transcendence,I≈Thought / Immanence; R≈Action / Volition; Sem≈Being / Transcendence,Gradient,Immanent-transcendent mediation,19,2,Parent I — Ontological / Field-Foundational,,2,
38,Trinitarian Anthropological Triad,Christian Theology,Modern Global – Scientific/Technical,Analytic Philosophy / Logic,Mind / Memory (Memoria) | Will / Love (Voluntas) | Understanding / Knowledge (Intelligentia),I≈Mind / Memory (Memoria); R≈Will / Love (Voluntas); Sem≈Understanding / Knowledge (Intelligentia),Gradient,Perichoretic unity,19,2,Parent II — Structural / Constraint-Dynamical,,2,
39,Mythic Triadic Structures,Comparative Mythology,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,Raw Nature | Mediating Term (Transformation) | Cooked Culture,I≈Raw Nature; R≈Mediating Term (Transformation); Sem≈Cooked Culture,Branching,Binary mediation → synthesis,20,2,Parent I — Ontological / Field-Foundational,,2,
40,Inner Form Triad (extended),Slavic / Eastern European,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,External Form | Inner Form (Expressive drive) | Semantic Content,I≈External Form; R≈Inner Form (Expressive drive); Sem≈Semantic Content,Branching,Phenomenological mediation,19,2,Parent II — Structural / Constraint-Dynamical,,2,
41,Triadic Sign (Pragmaticist),American Pragmatism,Modern Global – Scientific/Technical,Semiotics / Meaning Systems,Representamen (Sign vehicle) | Object (Dynamic referent) | Interpretant (Meaning generation),I≈Representamen (Sign vehicle); R≈Object (Dynamic referent); Sem≈Interpretant (Meaning generation),Branching,Infinite semiosis (recursive),19,2,Parent II — Structural / Constraint-Dynamical,,2,
42,San Cai 三才 (Three Powers),Chinese Classical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Di 地 (Earth: yin-receptive substrate, material nourishment) | Tian 天 (Heaven: creative yang impulse, cosmic ordering force) | Ren 人 (Human: mediating agent, ethical completion, harmonizer)","I≈Di 地 (Earth: yin-receptive substrate, material nourishment); R≈Tian 天 (Heaven: creative yang impulse, cosmic ordering force); Sem≈Ren 人 (Human: mediating agent, ethical completion, harmonizer)",Gradient,Tian Ren He Yi 天人合一 (Unity of Heaven and Humanity),19,2,Parent I — Ontological / Field-Foundational,,2,
43,Triguṇa त्रिगुण (Three Qualities of Prakṛti),Indian Classical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Tamas तमस् (inertia, darkness, material substrate, stability) | Rajas रजस् (passion, activity, dynamic drive, desire) | Sattva सत्त्व (harmony, luminous awareness, registration of balance)","I≈Tamas तमस् (inertia, darkness, material substrate, stability); R≈Rajas रजस् (passion, activity, dynamic drive, desire); Sem≈Sattva सत्त्व (harmony, luminous awareness, registration of balance)",Branching,Guṇa interplay: all three co-present; liberation = guṇātīta (transcending all three),19,2,Parent I — Ontological / Field-Foundational,,2,
44,San Bao 三寶 — Three Treasures (Alchemical),Daoist (Chinese),Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Jing 精 (Essence: deep vitality, genetic substrate, 'wax of the candle') | Qi 氣 (Vital energy: animating breath/force, 'flame of the candle') | Shen 神 (Spirit: consciousness, awareness, 'light of the candle')","I≈Jing 精 (Essence: deep vitality, genetic substrate, 'wax of the candle'); R≈Qi 氣 (Vital energy: animating breath/force, 'flame of the candle'); Sem≈Shen 神 (Spirit: consciousness, awareness, 'light of the candle')",Branching,Neidan ladder: 煉精化氣 → 煉氣化神 → 煉神還虛 (refine Jing→Qi→Shen→Emptiness/Dao),19,3,Parent I — Ontological / Field-Foundational,,3,
45,San Bao 三寶 — Three Treasures (Ethical),Daoist (Chinese),Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Jiǎn 儉 (Frugality: structural economy, material restraint) | Cí 慈 (Compassion: active care, motivating kindness, courageous love) | Bù gǎn wéi tiānxià xiān 不敢為天下先 (Humility: yielding registration, not forcing primacy)","I≈Jiǎn 儉 (Frugality: structural economy, material restraint); R≈Cí 慈 (Compassion: active care, motivating kindness, courageous love); Sem≈Bù gǎn wéi tiānxià xiān 不敢為天下先 (Humility: yielding registration, not forcing primacy)",Branching,Wu Wei (effortless action): virtues arise from non-contention,19,2,Parent I — Ontological / Field-Foundational,,2,
46,Triratna त्रिरत्न (Three Jewels of Buddhism),Buddhist (Indian),Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Saṅgha (Community: institutional substrate, relational ground, practice embodiment) | Dharma (Teaching: doctrinal drive, path-instruction, transformative law) | Buddha (Awakened One: realized closure, exemplar of liberation, achieved coherence)","I≈Saṅgha (Community: institutional substrate, relational ground, practice embodiment); R≈Dharma (Teaching: doctrinal drive, path-instruction, transformative law); Sem≈Buddha (Awakened One: realized closure, exemplar of liberation, achieved coherence)",Branching,"Refuge formula: recursive commitment - 'I take refuge in Buddha, Dharma, Sangha'",19,2,Parent I — Ontological / Field-Foundational,,2,
47,Trikāya त्रिकाय (Three Bodies of Buddha),Buddhist (Indian),Southeast Asia,Contemporary Analytic / Structural Theory,"Dharmakāya (Truth Body: formless ground, unborn absolute, emptiness-substrate) | Sambhogakāya (Enjoyment Body: luminous energy, blissful communication, five wisdoms) | Nirmāṇakāya (Manifestation Body: physical embodiment, earthly registration, compassionate form)","I≈Dharmakāya (Truth Body: formless ground, unborn absolute, emptiness-substrate); R≈Sambhogakāya (Enjoyment Body: luminous energy, blissful communication, five wisdoms); Sem≈Nirmāṇakāya (Manifestation Body: physical embodiment, earthly registration, compassionate form)",Gradient,Kusum yerme: indivisibility of three bodies - all arise simultaneously,19,2,Parent I — Ontological / Field-Foundational,,2,
48,Cheon-Ji-In 천지인 天地人 (Korean San Jae),Korean Classical,East Asia,Contemporary Analytic / Structural Theory,"Ji 지/地 (Earth: nurturing substrate, matter-energy, Taegeuk yin pole) | Cheon 천/天 (Heaven: cosmic ordering principle, creative spirit, yang pole) | In 인/人 (Human: ethical mediator, 'perfecting' agent between heaven and earth)","I≈Ji 지/地 (Earth: nurturing substrate, matter-energy, Taegeuk yin pole); R≈Cheon 천/天 (Heaven: cosmic ordering principle, creative spirit, yang pole); Sem≈In 인/人 (Human: ethical mediator, 'perfecting' agent between heaven and earth)",Gradient,Hongik Ingan 弘益人間: 'wide benefit to humanity' through triadic completion,19,2,Parent I — Ontological / Field-Foundational,,2,
49,Shu-Ha-Ri 守破離 (Three Stages of Mastery),Japanese Classical,Modern Global – Philosophical/Meta,Contemporary Analytic / Structural Theory,"Shu 守 (Protect/Obey: absorb foundational form, structural discipline, 'body') | Ha 破 (Break/Detach: innovate beyond form, active deviation, 'mind') | Ri 離 (Leave/Transcend: formless mastery, intuitive closure, Mushin 無心 'no-mind')","I≈Shu 守 (Protect/Obey: absorb foundational form, structural discipline, 'body'); R≈Ha 破 (Break/Detach: innovate beyond form, active deviation, 'mind'); Sem≈Ri 離 (Leave/Transcend: formless mastery, intuitive closure, Mushin 無心 'no-mind')",Torsional,"Concentric recursion: Shu ⊂ Ha ⊂ Ri - fundamentals never disappear, only deepen",19,3,Parent I — Ontological / Field-Foundational,,3,
50,Jo-Ha-Kyū 序破急 (Three-Phase Aesthetic Rhythm),Japanese Classical,Sub-Saharan Africa,Contemporary Analytic / Structural Theory,"Jo 序 (Introduction: slow opening, structural establishment, ground-laying) | Ha 破 (Breaking: development, tension, accelerating drive, complication) | Kyū 急 (Rapid: climax, resolution, closure, swift registration)","I≈Jo 序 (Introduction: slow opening, structural establishment, ground-laying); R≈Ha 破 (Breaking: development, tension, accelerating drive, complication); Sem≈Kyū 急 (Rapid: climax, resolution, closure, swift registration)",Torsional,"Fractal-temporal: Jo-Ha-Kyū applies at every scale (whole play, each act, each gesture)",19,2,Parent I — Ontological / Field-Foundational,,2,
51,Sān Jiào 三教 (Three Teachings Harmony),Chinese Classical (Syncretic),Modern Global – Philosophical/Meta,Contemporary Constructed Metaframework,"Rú 儒 (Confucianism: social structure, ethical order, institutional substrate) | Dào 道 (Daoism: natural spontaneity, cosmological drive, wu wei) | Fó 佛 (Buddhism: mind cultivation, awakening, registration of emptiness/liberation)","I≈Rú 儒 (Confucianism: social structure, ethical order, institutional substrate); R≈Dào 道 (Daoism: natural spontaneity, cosmological drive, wu wei); Sem≈Fó 佛 (Buddhism: mind cultivation, awakening, registration of emptiness/liberation)",Branching,Sān Jiào Hé Yī 三教合一: 'Three Teachings Merge into One',19,2,Parent I — Ontological / Field-Foundational,,2,
52,Sat-Cit-Ānanda सच्चिदानन्द (Being-Consciousness-Bliss),Indian Classical (Vedanta),Modern Global – Philosophical/Meta,Contemporary Constructed Metaframework,"Sat सत् (Being: ontological ground, pure existence, structural substrate) | Cit चित् (Consciousness: awareness-drive, knowing function, intentional illumination) | Ānanda आनन्द (Bliss: registrative fulfillment, self-closure of being-knowing)","I≈Sat सत् (Being: ontological ground, pure existence, structural substrate); R≈Cit चित् (Consciousness: awareness-drive, knowing function, intentional illumination); Sem≈Ānanda आनन्द (Bliss: registrative fulfillment, self-closure of being-knowing)",Gradient,Advaita: the three are not separate attributes but one indivisible Brahman,19,2,Parent I — Ontological / Field-Foundational,,2,
53,Ichinen Sanzen 一念三千 / Three Truths (Santai 三諦),Chinese Buddhism (Tiantai),Modern Global – Philosophical/Meta,Contemporary Constructed Metaframework,"Kū 空 (Emptiness: non-substantiality, structural void-ground) | Ke 仮 (Provisional existence: phenomenal drive, temporary manifestation) | Chū 中 (Middle Way: integrated closure, simultaneous truth of both)","I≈Kū 空 (Emptiness: non-substantiality, structural void-ground); R≈Ke 仮 (Provisional existence: phenomenal drive, temporary manifestation); Sem≈Chū 中 (Middle Way: integrated closure, simultaneous truth of both)",Gradient,Santai Engū 三諦円融: 'Perfect interfusion of Three Truths' - each contains the other two,19,2,Parent I — Ontological / Field-Foundational,,2,
54,Trimūrti त्रिमूर्ति (Hindu Trinity),Indian Classical (Hindu),Modern Global – Philosophical/Meta,Contemporary Constructed Metaframework,"Viṣṇu विष्णु (Preservation: structural maintenance, sustaining substrate, Sattva) | Brahmā ब्रह्मा (Creation: generative drive, cosmic intent, Rajas) | Śiva शिव (Dissolution/Transformation: destructive-regenerative closure, Tamas→renewal)","I≈Viṣṇu विष्णु (Preservation: structural maintenance, sustaining substrate, Sattva); R≈Brahmā ब्रह्मा (Creation: generative drive, cosmic intent, Rajas); Sem≈Śiva शिव (Dissolution/Transformation: destructive-regenerative closure, Tamas→renewal)",Gradient,Cyclic recursion: Creation → Preservation → Dissolution → Creation…,19,2,Parent I — Ontological / Field-Foundational,,2,
55,Sangaku 三学 / Triśikṣā (Three Higher Trainings),Indian Buddhist,Oceania & Pacific,Indigenous / Classical Cosmology,"Śīla शील (Ethics/Morality: structural discipline, behavioral foundation) | Samādhi समाधि (Concentration: meditative drive, one-pointed intent, absorption) | Prajñā प्रज्ञा (Wisdom: liberating insight, registrative closure, seeing-as-it-is)","I≈Śīla शील (Ethics/Morality: structural discipline, behavioral foundation); R≈Samādhi समाधि (Concentration: meditative drive, one-pointed intent, absorption); Sem≈Prajñā प्रज्ञा (Wisdom: liberating insight, registrative closure, seeing-as-it-is)",Gradient,"Sequential yet recursive: ethics→concentration→wisdom, which deepens ethics…",19,2,Parent I — Ontological / Field-Foundational,,2,
56,Peirce's Triadic Categories (Firstness–Secondness–Thirdness),American Pragmatism,Modern Global – Mixed/General,American Pragmatism,"Firstness — quality, possibility, feeling | Secondness — brute fact, reaction, resistance | Thirdness — mediation, law, habit, meaning","I≈Firstness — quality, possibility, feeling; R≈Secondness — brute fact, reaction, resistance; Sem≈Thirdness — mediation, law, habit, meaning",Branching,genuine triadic relation irreducible to dyads; Sign = Representamen × Object × Interpretant,20,2,Parent III — Relational / Emergent-Integrative,,2,
57,Fichte's Wissenschaftslehre Triad,German Idealism,Modern Global – Mixed/General,German Idealism,Thesis — the I posits itself | Antithesis — the I posits the Not-I | Synthesis — reciprocal determination of I and Not-I,I≈Thesis — the I posits itself; R≈Antithesis — the I posits the Not-I; Sem≈Synthesis — reciprocal determination of I and Not-I,Branching,"dialectical Aufhebung; action is 'thetisch, antithetisch und synthetisch zugleich'",19,2,Parent II — Structural / Constraint-Dynamical,,2,
58,Kant's Three Critiques / Faculties Triad,German Idealism,Modern Global – Mixed/General,German Idealism,"Pure Reason — cognition, understanding, nature | Practical Reason — moral action, freedom, duty | Judgment — aesthetic/teleological bridging of nature and freedom","I≈Pure Reason — cognition, understanding, nature; R≈Practical Reason — moral action, freedom, duty; Sem≈Judgment — aesthetic/teleological bridging of nature and freedom",Gradient,"3rd Critique explicitly bridges the first two; each category class has exactly 3, with 3rd arising from combination of 1st and 2nd",19,2,Parent II — Structural / Constraint-Dynamical,,2,
59,Schelling's Identity Philosophy Triad,German Idealism,Modern Global – Mixed/General,German Idealism,"Nature (the Real, objective pole) | Spirit / Ego (the Ideal, subjective pole) | Absolute Identity (A=A, subject-object unity)","I≈Nature (the Real, objective pole); R≈Spirit / Ego (the Ideal, subjective pole); Sem≈Absolute Identity (A=A, subject-object unity)",Gradient,"A²=A+B; Absolute Being differentiates into Nature and Spirit, then synthesizes. Art as organon of philosophy.",19,2,Parent I — Ontological / Field-Foundational,,2,
60,Plato / Aristotle / Popper Three Worlds,European Philosophy (Three Worlds),Modern Global – Mixed/General,European Philosophy (Epistemology/Ontology),"World 1 — Physical/Material (objects, processes) | World 2 — Mental (subjective experience, consciousness) | World 3 — Forms/Structures/Abstract Objects (theories, patterns)","I≈World 1 — Physical/Material (objects, processes); R≈World 2 — Mental (subjective experience, consciousness); Sem≈World 3 — Forms/Structures/Abstract Objects (theories, patterns)",Gradient,"World 3 produced by World 2 acting on World 1, but becomes causally autonomous (Popper)",19,2,Parent I — Ontological / Field-Foundational,,2,
61,Lacan's RSI Triad (Real–Symbolic–Imaginary),French Psychoanalysis,Modern Global – Mixed/General,French Psychoanalysis / Structuralism,"The Symbolic — law, language, signifier, the Other | The Imaginary — ego formation, identification, image | The Real — what resists symbolization, trauma, impossibility","I≈The Symbolic — law, language, signifier, the Other; R≈The Imaginary — ego formation, identification, image; Sem≈The Real — what resists symbolization, trauma, impossibility",Branching,Borromean knot topology; three registers irreducibly interdependent; severing any one collapses all three. Sinthome as 4th repair ring.,19,2,Parent I — Ontological / Field-Foundational,,2,
62,Freud's Structural Model (Id–Ego–Superego),Austrian Psychoanalysis,Modern Global – Mixed/General,Austrian Psychoanalysis,"Id — drives, instincts, primary process | Ego — reality principle, mediation, defense | Superego — conscience, moral law, ideal","I≈Id — drives, instincts, primary process; R≈Ego — reality principle, mediation, defense; Sem≈Superego — conscience, moral law, ideal",Branching,Implicit - Ego mediates between Id and Superego under reality constraints; dynamic equilibrium,19,2,Parent II — Structural / Constraint-Dynamical,,2,
